Actividad,Responsables,Duración,Inicio,Fin,Evento,Días al evento,Stopper
            Entrega final versión completa + versión resumen,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 día,29/01/2024,29/01/2024,27/10/2024,272,Entrega final versión completa + versión resumen
            Entrega final versión completa + versión corta,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 día,29/01/2024,29/01/2024,27/10/2024,272,Entrega final versión completa + versión corta
            Ednovi Pirotecnia,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 día,29/01/2024,29/01/2024,27/10/2024,272,Ednovi Pirotecnia
            Arcos acceso general Display,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 día,29/01/2024,29/01/2024,27/10/2024,272,Arcos acceso general Display
            Estructuras MK impresos,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 día,29/01/2024,29/01/2024,27/10/2024,272,Estructuras MK impresos
            Testigos de monitoreo finales,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 día,29/01/2024,29/01/2024,27/10/2024,272,Testigos de monitoreo finales
            Escaleras de servicio Construccion,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 día,29/01/2024,29/01/2024,27/10/2024,272,Escaleras de servicio Construccion
            Puente temporal Total show Construccion,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 día,29/01/2024,29/01/2024,27/10/2024,272,Puente temporal Total show Construccion
"            Display GNP, PHOTO OPP, Display","Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 día,29/01/2024,29/01/2024,27/10/2024,272,"Display GNP, PHOTO OPP, Display"
            Cotizar mecanica de suelo Construccion,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 día,29/01/2024,29/01/2024,27/10/2024,272,Cotizar mecanica de suelo Construccion
            Amevi Ambulancias,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 día,29/01/2024,29/01/2024,27/10/2024,272,Amevi Ambulancias
"            Bajas de agua pit building, Construccion","Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 día,29/01/2024,29/01/2024,27/10/2024,272,"Bajas de agua pit building, Construccion"
            Modulos de informacion Display,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 día,29/01/2024,29/01/2024,27/10/2024,272,Modulos de informacion Display
            Video voluntarios Audio y video,Coordinación de Compras F1,Dura 1 día,29/01/2024,29/01/2024,27/10/2024,272,Video voluntarios Audio y video
            Modulos de informacion Display,Coordinación de Compras F1,Dura 1 día,29/01/2024,29/01/2024,27/10/2024,272,Modulos de informacion Display
            Respuesta revisión de bases,Coordinación de Compras F1,Dura 1 día,29/01/2024,29/01/2024,27/10/2024,272,Respuesta revisión de bases
         Fechas de salida a la venta (solicitudes listas),Coordinación de Boletaje F1,Dura 20 días,16/11/2023,13/12/2023,27/10/2024,319,Fechas de salida a la venta (solicitudes listas)
         Seguimiento de contrato,"Gerencia Comercial F1,Gerencia Sr. Comercial F1",Dura 1 día,16/11/2023,16/11/2023,27/10/2024,346,Seguimiento de contrato
         Fecha de Salida a la Venta,"Dirección Comercial F1,Gerencia Sr. Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Dirección General CIE Internacional y F1",Dura 105 días,22/06/2023,15/11/2023,27/10/2024,347,Fecha de Salida a la Venta
            Planificación de necesidades,Líder Proyectos y Plataformas,Dura 60 días,10/08/2023,01/11/2023,27/10/2024,361,Planificación de necesidades
         Elaboración de contenidos,"Creativo F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1",Dura 40 días,16/08/2023,10/10/2023,27/10/2024,383,Elaboración de contenidos
         Vocero para entrevistas,"Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1",Dura 10 días,16/08/2023,29/08/2023,27/10/2024,425,Vocero para entrevistas
         Definición de Pautado Redes Sociales,Gerencia de Redes Sociales F1,Dura 40 días,21/06/2023,15/08/2023,27/10/2024,439,Definición de Pautado Redes Sociales
         Definición de Proyectos de PR,Gerencia de Relaciones Públicas F1,Dura 40 días,21/06/2023,15/08/2023,27/10/2024,439,Definición de Proyectos de PR
            Solicitudes,Líder Proyectos y Plataformas,Dura 30 días,29/06/2023,09/08/2023,27/10/2024,445,Solicitudes
         Presupuesto de ingresos,Gerente de Planeación Financiera F1,Dura 10 días,13/07/2023,26/07/2023,27/10/2024,459,Presupuesto de ingresos
      8.2 Presupuesto de Egresos,"Gerente de Planeación Financiera F1,Dirección General de Gerencia de Planeación Financiera F1",Dura 26 días,21/06/2023,26/07/2023,27/10/2024,459,
         Presupuesto de Egresos,Gerente de Planeación Financiera F1,Dura 10 días,13/07/2023,26/07/2023,27/10/2024,459,Presupuesto de Egresos
         Presupuesto de Ingresos,Gerente de Planeación Financiera F1,Dura 10 días,13/07/2023,26/07/2023,27/10/2024,459,Presupuesto de Ingresos
         Escenarios financieros,Gerente de Planeación Financiera F1,Dura 5 días,06/07/2023,12/07/2023,27/10/2024,473,Escenarios financieros
         Escenarios financieros,Gerente de Planeación Financiera F1,Dura 5 días,06/07/2023,12/07/2023,27/10/2024,473,Escenarios financieros
   2.Aforo,"Dirección General CIE Internacional y F1,Gerente de Planeación Financiera F1",Dura 75 días,29/03/2023,11/07/2023,27/10/2024,474,
      2.3 Determinación de Tabla de Precios,Gerente de Planeación Financiera F1,Dura 34 días,25/05/2023,11/07/2023,27/10/2024,474,
"         Master plan (borrador, versiones y as built)",Gerente Producción F1,Dura 10 días,28/06/2023,11/07/2023,27/10/2024,474,"Master plan (borrador, versiones y as built)"
         Planeación de ingresos,"Gerente de Planeación Financiera F1,Dirección General de Gerencia de Planeación Financiera F1",Dura 10 días,22/06/2023,05/07/2023,27/10/2024,480,Planeación de ingresos
         Planeación de Egresos,"Gerente de Planeación Financiera F1,Dirección General de Gerencia de Planeación Financiera F1",Dura 10 días,22/06/2023,05/07/2023,27/10/2024,480,Planeación de Egresos
         Distribución de Inventario por canal de venta,Coordinación de Boletaje F1,Dura 1 día,28/06/2023,28/06/2023,27/10/2024,487,Distribución de Inventario por canal de venta
         4.7 Experiencia al Cliente PADDOCK,Gerencia Hospitalidades y Experiencias Premium F1,Dura 1 día,28/06/2023,28/06/2023,27/10/2024,487,
            Planeación,"Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Dirección de Operaciones F1,Gerencia Comercial F1,Gerencia Sr. Comercial F1",Dura 1 día,28/06/2023,28/06/2023,27/10/2024,487,Planeación
"            Levantamiento de necesidades. (Roles, cantidad, etc.)",Líder Proyectos y Plataformas,Dura 1 día,28/06/2023,28/06/2023,27/10/2024,487,"Levantamiento de necesidades. (Roles, cantidad, etc.)"
         Determinación de canales de venta,Gerente de Planeación Financiera F1,Dura 5 días,21/06/2023,27/06/2023,27/10/2024,488,Determinación de canales de venta
      12.3 Negociación,Coordinación de Compras F1,Dura 1 día,22/06/2023,22/06/2023,27/10/2024,493,
         Negociación,Coordinación de Compras F1,Dura 1 día,22/06/2023,22/06/2023,27/10/2024,493,Negociación
         Volumen de compra ( Definición),Coordinación de Compras F1,Dura 1 día,22/06/2023,22/06/2023,27/10/2024,493,Volumen de compra ( Definición)
         Definición del inventario para boletera,"Dirección General CIE Internacional y F1,Coordinación de Boletaje F1",Dura 1 día,21/06/2023,21/06/2023,27/10/2024,494,Definición del inventario para boletera
         Definición de fecha salida a Venta,"Dirección Comercial F1,Gerencia Sr. Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Dirección General CIE Internacional y F1,Gerente de Experiencia al Cliente Corporativos F1",Dura 1 día,21/06/2023,21/06/2023,27/10/2024,494,Definición de fecha salida a Venta
         Fuentes de ingresos (productos),"Gerente de Planeación Financiera F1,Dirección General de Gerencia de Planeación Financiera F1",Dura 1 día,21/06/2023,21/06/2023,27/10/2024,494,Fuentes de ingresos (productos)
         Fuentes de egresos,"Gerente de Planeación Financiera F1,Dirección General de Gerencia de Planeación Financiera F1",Dura 1 día,21/06/2023,21/06/2023,27/10/2024,494,Fuentes de egresos
         Ajustes de asientos contables,Contraloría F1,Dura 1 día,21/06/2023,21/06/2023,27/10/2024,494,Ajustes de asientos contables
      12.2 Análisis,Coordinación de Compras F1,Dura 1 día,21/06/2023,21/06/2023,27/10/2024,494,
         Requisitos,Coordinación de Compras F1,Dura 1 día,21/06/2023,21/06/2023,27/10/2024,494,Requisitos
         Criterios para Desarrollo de Proveedores,Coordinación de Compras F1,Dura 1 día,21/06/2023,21/06/2023,27/10/2024,494,Criterios para Desarrollo de Proveedores
         Reglas de negocio,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 día,21/06/2023,21/06/2023,27/10/2024,494,Reglas de negocio
         Proyección de compra,Coordinación de Compras F1,Dura 1 día,21/06/2023,21/06/2023,27/10/2024,494,Proyección de compra
         Tabla de Precios,"Dirección General CIE Internacional y F1,Gerente de Planeación Financiera F1",Dura 5 días,14/06/2023,20/06/2023,27/10/2024,495,Tabla de Precios
         Estimación de egresos,Gerente de Planeación Financiera F1,Dura 4 días,08/06/2023,13/06/2023,27/10/2024,502,Estimación de egresos
         Estimación de rentabilidad,Gerente de Planeación Financiera F1,Dura 4 días,08/06/2023,13/06/2023,27/10/2024,502,Estimación de rentabilidad
         Branding,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 50 días,03/04/2023,09/06/2023,27/10/2024,506,
"            Entrega de propuesta de renders. (Módulos cashless, bonificación, tótems, playeras, pallets, tokens.) Seguimiento de cambios",Coordinación Experiencia al Cliente,Dura 5 días,05/06/2023,09/06/2023,27/10/2024,506,"Entrega de propuesta de renders. (Módulos cashless, bonificación, tótems, playeras, pallets, tokens.) Seguimiento de cambios"
"            Propuesta de render del back, copete y faldón del módulo de pre carga",Coordinación Experiencia al Cliente,Dura 5 días,05/06/2023,09/06/2023,27/10/2024,506,"Propuesta de render del back, copete y faldón del módulo de pre carga"
         Experiencia culinaria,Gerencia de Relaciones Públicas F1,Dura 5 días,05/06/2023,09/06/2023,27/10/2024,506,Experiencia culinaria
         Valuación de espacios Off Track,Gerente de Planeación Financiera F1,Dura 5 días,01/06/2023,07/06/2023,27/10/2024,508,Valuación de espacios Off Track
            Ajustes generales LANDYARD SUITES,Coordinación Experiencia al Cliente,Dura 5 días,29/05/2023,02/06/2023,27/10/2024,513,Ajustes generales LANDYARD SUITES
         Valuación de espacios On Track,Gerente de Planeación Financiera F1,Dura 5 días,25/05/2023,31/05/2023,27/10/2024,515,Valuación de espacios On Track
            Presentación LANDYARD SUITES,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 40 días,03/04/2023,26/05/2023,27/10/2024,520,Presentación LANDYARD SUITES
      2.2 Determinación del Inventario de Espacios por Zona con precios (Factibilidad),"Gerente de Planeación Financiera F1,Dirección General CIE Internacional y F1",Dura 16 días,03/05/2023,24/05/2023,27/10/2024,522,
         Estimación de ingresos,"Gerente de Planeación Financiera F1,Dirección de Operaciones F1",Dura 1 día,24/05/2023,24/05/2023,27/10/2024,522,Estimación de ingresos
         Estimación metro cuadrado por persona-servicios,"Gerente de Planeación Financiera F1,Dirección de Operaciones F1",Dura 5 días,17/05/2023,23/05/2023,27/10/2024,523,Estimación metro cuadrado por persona-servicios
         Costeo de metro cuadrado de servicios,"Gerente de Planeación Financiera F1,Dirección de Operaciones F1",Dura 5 días,17/05/2023,23/05/2023,27/10/2024,523,Costeo de metro cuadrado de servicios
         Determinación de inventarios de espacios,"Gerente de Planeación Financiera F1,Dirección de Operaciones F1",Dura 10 días,03/05/2023,16/05/2023,27/10/2024,530,Determinación de inventarios de espacios
      2.1 Segmentación y Valoración del Espacio Dentro y Fuera de la Pista,Dirección de Operaciones F1,Dura 30 días,29/03/2023,09/05/2023,27/10/2024,537,
         Aprobación de Proyecto Ejecutivo ,Dirección de Operaciones F1,Dura 5 días,03/05/2023,09/05/2023,27/10/2024,537,Aprobación de Proyecto Ejecutivo
         Análisis del Proyecto Ejecutivo,Dirección de Operaciones F1,Dura 10 días,19/04/2023,02/05/2023,27/10/2024,544,Análisis del Proyecto Ejecutivo
         Proyecto Ejecutivo,Dirección de Operaciones F1,Dura 15 días,29/03/2023,18/04/2023,27/10/2024,558,Proyecto Ejecutivo
         Amenities,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1,Creativo F1,Gerente Producción F1,Coordinación Experiencia al Cliente Corporativo F1",Dura 11 días,03/04/2023,17/04/2023,27/10/2024,559,
            Aprobación de propuesta LANDYARD CASHLESS,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 5 días,11/04/2023,17/04/2023,27/10/2024,559,Aprobación de propuesta LANDYARD CASHLESS
            Aprobación de propuesta LANDYARD GRADA 3,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 5 días,11/04/2023,17/04/2023,27/10/2024,559,Aprobación de propuesta LANDYARD GRADA 3
         Propuesta Conceptual,"Gerencia de Mercadotecnia F1,Dirección Comercial F1,Gerencia Sr. Comercial F1,Creativo F1",Dura 10 días,03/04/2023,14/04/2023,27/10/2024,562,Propuesta Conceptual
            Ajustes generales LANDYARD CASHLESS,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 5 días,04/04/2023,10/04/2023,27/10/2024,566,Ajustes generales LANDYARD CASHLESS
            Ajustes generales LANDYARD GRADA 3,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 5 días,04/04/2023,10/04/2023,27/10/2024,566,Ajustes generales LANDYARD GRADA 3
         Presentación para Venta,"Creativo F1,Dirección de Mercadotecnia F1",Dura 5 días,03/04/2023,07/04/2023,27/10/2024,569,Presentación para Venta
            Visualización y propuesta de punto de entrega de kits.,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 1 día,04/04/2023,04/04/2023,27/10/2024,572,Visualización y propuesta de punto de entrega de kits.
            Presentación LANDYARD CASHLESS,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 1 día,03/04/2023,03/04/2023,27/10/2024,573,Presentación LANDYARD CASHLESS
            Presentación LANDYARD GRADA 3,"Coordinación Experiencia al Cliente,Gerente de Experiencia al Cliente Corporativos F1,Dirección Comercial F1,Gerencia Comercial F1,Gerencia Sr. Comercial F1,Contraloría F1",Dura 1 día,03/04/2023,03/04/2023,27/10/2024,573,Presentación LANDYARD GRADA 3
         Experiencia al Cliente Corporativo,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 1 día,03/04/2023,03/04/2023,27/10/2024,573,Experiencia al Cliente Corporativo
            Entrega de materiales para campaña,Gerente Producción F1,Dura 1 día,03/04/2023,03/04/2023,27/10/2024,573,Entrega de materiales para campaña
      Imagen Master,"Creativo F1,Dirección de Mercadotecnia F1",Dura 2 días,30/03/2023,31/03/2023,27/10/2024,576,
         Presentación de Productos Corporativos,"Dirección Comercial F1,Creativo F1,Gerencia de Mercadotecnia F1",Dura 1 día,31/03/2023,31/03/2023,27/10/2024,576,Presentación de Productos Corporativos
         Aprobación de Imagen Master,"Creativo F1,Dirección de Mercadotecnia F1",Dura 1 día,30/03/2023,30/03/2023,27/10/2024,577,Aprobación de Imagen Master
      3.1 Diseño de la Imagen y Presentación,Creativo F1,Dura 1 día,29/03/2023,29/03/2023,27/10/2024,578,
         Propuestas Creativas,"Creativo F1,Dirección de Mercadotecnia F1",Dura 1 día,29/03/2023,29/03/2023,27/10/2024,578,Propuestas Creativas
   1. Trazo de Pista ,"Equipo de Proyecto,Dirección General CIE Internacional y F1",Dura 410 días,01/09/2021,28/03/2023,27/10/2024,579,
      1.3.Certificación de Pista,Dirección de Operaciones F1,Dura 45 días,25/01/2023,28/03/2023,27/10/2024,579,
         Pago de derechos,Dirección de Operaciones F1,Dura 5 días,22/03/2023,28/03/2023,27/10/2024,579,Pago de derechos
         Pista Certificada Bajo Estándar FIA,Dirección de Operaciones F1,Dura 0 días,28/03/2023,28/03/2023,27/10/2024,579,Pista Certificada Bajo Estándar FIA
         Certificación de Pista bajo estándar FIA,Dirección de Operaciones F1,Dura 15 días,01/03/2023,21/03/2023,27/10/2024,586,Certificación de Pista bajo estándar FIA
         Evaluación FIA,Dirección de Operaciones F1,Dura 10 días,15/02/2023,28/02/2023,27/10/2024,607,Evaluación FIA
         Evaluación y Validación OMDAI,Dirección de Operaciones F1,Dura 15 días,25/01/2023,14/02/2023,27/10/2024,621,Evaluación y Validación OMDAI
      1.3.Construcción Trazo de Pista,"Equipo de Proyecto,Gerente Producción F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 310 días,17/11/2021,24/01/2023,27/10/2024,642,
         Dictamen D.R.O,"Equipo de Proyecto,Gerente Producción F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 10 días,11/01/2023,24/01/2023,27/10/2024,642,Dictamen D.R.O
         Avance de la obra,"Equipo de Proyecto,Contraloría F1",Dura 20 días,28/12/2022,24/01/2023,27/10/2024,642,Avance de la obra
         Aprobación,"Equipo de Proyecto,Gerente Producción F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 10 días,28/12/2022,10/01/2023,27/10/2024,656,Aprobación
         Tiempo de construcción,"Equipo de Proyecto,Gerente Producción F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 250 días,12/01/2022,27/12/2022,27/10/2024,670,Tiempo de construcción
         Materiales y construcción,"Equipo de Proyecto,Gerente Producción F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 15 días,09/02/2022,01/03/2022,27/10/2024,971,Materiales y construcción
         Planos,"Equipo de Proyecto,Gerente Producción F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 20 días,12/01/2022,08/02/2022,27/10/2024,992,Planos
         Permisos de construcción,"Equipo de Proyecto,Gerente Producción F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 20 días,15/12/2021,11/01/2022,27/10/2024,1020,Permisos de construcción
         Mano de obra ( Planeación) ,"Equipo de Proyecto,Gerente Producción F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 20 días,17/11/2021,14/12/2021,27/10/2024,1048,Mano de obra ( Planeación)
      1.1. Planeación Trazo de Pista,"Equipo de Proyecto,Gerente de Planeación Financiera F1,Dirección General CIE Internacional y F1",Dura 55 días,01/09/2021,16/11/2021,27/10/2024,1076,
         Definición de la dimensión,"Equipo de Proyecto,Gerente Producción F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 15 días,27/10/2021,16/11/2021,27/10/2024,1076,Definición de la dimensión
         Definición de la ubicación,"Dirección General CIE Internacional y F1,Dirección de Mercadotecnia F1,Dirección de Operaciones F1",Dura 10 días,13/10/2021,26/10/2021,27/10/2024,1097,Definición de la ubicación
"         Pre-aprobación OMDAI, FIA","Dirección General CIE Internacional y F1,Dirección de Mercadotecnia F1,Dirección de Operaciones F1",Dura 5 días,06/10/2021,12/10/2021,27/10/2024,1111,"Pre-aprobación OMDAI, FIA"
         Definición de presupuesto de construcción,"Equipo de Proyecto,Gerente de Planeación Financiera F1,Dirección General CIE Internacional y F1",Dura 10 días,22/09/2021,05/10/2021,27/10/2024,1118,Definición de presupuesto de construcción
         Levantamiento topográfico,"Dirección General CIE Internacional y F1,Dirección de Mercadotecnia F1,Dirección de Operaciones F1",Dura 5 días,15/09/2021,21/09/2021,27/10/2024,1132,Levantamiento topográfico
         Estudio de mecánica de suelos,"Dirección General CIE Internacional y F1,Dirección de Mercadotecnia F1,Dirección de Operaciones F1",Dura 10 días,01/09/2021,14/09/2021,27/10/2024,1139,
            Entrega de bases finales monitoreo,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 día,01/09/2021,01/09/2021,27/10/2024,1152,
            Entrega de capítulo eventos especiales Parte 1,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 día,01/09/2021,01/09/2021,27/10/2024,1152,
            Reporte de cobertura de medios final versión completa,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 día,01/09/2021,01/09/2021,27/10/2024,1152,
